koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CANDIDATE,63.0732241,0.746,5.397,6.71E+02,17.8,0.4144,1077,317.78,30,6234,3.209,6.354,13.089
CONFIRMED,2.422084188,0.058,2.5613,1.87E+03,3.55,0.0344,1213,511.66,423.7,5598,4.565,0.83,14.236
CONFIRMED,78.5461106,0.044,8.689,6.59E+02,3.55,0.3659,501,14.85,35.6,5808,4.172,1.397,14.087
CONFIRMED,16.92342126,0.515,4.1864,1.13E+03,3.4,0.1309,702,57.37,40.8,5786,4.465,0.99,15.818
CONFIRMED,5.47665801,0.788,2.5482,6.48E+02,2.01,0.0542,741,71,32.1,4650,4.589,0.706,15.549
CONFIRMED,4.580346161,0.384,2.097,3.08E+02,1.38,0.0506,889,147.56,49.8,5103,4.558,0.789,13.693
CONFIRMED,2.248288213,0.004,2.0361,2.63E+02,1.25,0.0315,1127,380.75,59.7,5103,4.558,0.789,13.693
CONFIRMED,6.76690759,0.648,1.7062,2.49E+02,1.31,0.0656,781,87.79,29.7,5103,4.558,0.789,13.693
CONFIRMED,34.1732156,0.815,4.7679,6.35E+02,2.37,0.2027,465,11.09,38.9,5201,4.573,0.834,13.733
CONFIRMED,16.7364755,0.9,2.151,1.15E+03,2.73,0.1107,464,10.99,9.9,4334,4.618,0.653,14.786
FALSE POSITIVE,137.8645881,1.265,1.922,2.36E+03,15.9,0.4036,170,0.2,28.2,3645,4.797,0.449,14.645
CONFIRMED,12.43929428,0.663,3.176,2.54E+02,1.3,0.0951,627,36.57,24.9,4987,4.531,0.773,13.395
CONFIRMED,7.62635494,0.237,2.4168,2.96E+02,1.21,0.0696,703,57.89,32.5,4955,4.61,0.721,14.017
CANDIDATE,8.710442022,0.935,0.9425,1.20E+03,3.61,0.08,760,78.75,42.6,5416,4.575,0.809,14.816
CONFIRMED,11.35010642,0.035,2.2792,1.22E+03,1.75,0.0796,403,6.25,38.3,3597,4.734,0.514,15.278
CONFIRMED,109.4450597,0.149,3.792,1.27E+03,3.04,0.4276,340,3.14,30.1,5403,4.5,0.868,14.937
CONFIRMED,7.56052209,0.022,3.8573,6.60E+02,2.4,0.0761,914,164.9,34.6,5895,4.503,0.94,15.986
CONFIRMED,12.12401737,0.029,3.3091,7.88E+02,2.37,0.0965,675,48.98,40.1,5094,4.469,0.87,15.09
CONFIRMED,9.38740646,0.946,1.6165,3.85E+02,1.69,0.077,575,25.83,22.3,4500,4.656,0.646,14.028
CONFIRMED,7.41556471,0.434,1.973,1.50E+02,0.79,0.0658,622,35.37,11.8,4500,4.656,0.646,14.028
CONFIRMED,24.2101973,0.45,4.046,4.58E+02,1.5,0.1459,451,9.8,14.1,4650,4.589,0.706,15.549
CONFIRMED,23.8990075,0.153,15.955,2.93E+02,3.26,0.1685,823,108.3,61.5,5511,3.914,1.93,13.153
CONFIRMED,6.22161107,0.838,3.4117,1.65E+02,1.59,0.0693,1101,348.15,29,6277,4.417,1.097,13.977
CONFIRMED,6.17998508,0.175,2.1094,7.51E+02,2.12,0.0615,814,104.06,29,5149,4.551,0.791,15.801
CONFIRMED,1.569066598,0.097,2.7803,1.47E+02,1.68,0.0269,1849,2763.39,48.7,5821,4.172,1.395,13.93
CONFIRMED,9.59068586,0.359,3.452,5.45E+02,3.93,0.0827,1087,329.34,40,5476,3.904,1.673,13.237
CONFIRMED,7.03932913,0.956,3.514,8.37E+02,4.67,0.0734,1060,298.33,48.6,5846,4.278,1.24,14.915
CONFIRMED,49.6075771,0.764,2.9575,6.27E+02,2.12,0.2508,402,6.17,44.9,5187,4.592,0.774,13.218
CONFIRMED,16.84183355,0.688,2.6194,8.22E+02,3.08,0.1261,699,56.43,23.6,5602,4.404,1.009,14.306
CONFIRMED,7.340714946,0.568,2.9987,8.51E+03,14.31,0.0801,1155,421.03,856.3,6056,4.191,1.498,14.412
CONFIRMED,12.55111099,0.519,3.1293,4.94E+02,1.34,0.0896,480,12.56,33.2,4213,4.669,0.598,14.731
CONFIRMED,3.003879547,0.338,3.2848,8.54E+03,10.96,0.0439,1438,1011.87,80.8,6311,4.398,1.172,14.996
CONFIRMED,24.0884178,0.376,3.952,3.87E+02,1.16,0.1384,386,5.26,21,4213,4.669,0.598,14.731
CONFIRMED,12.75800092,0.011,4.1828,1.88E+02,1.49,0.1054,822,107.96,41.7,5782,4.34,1.095,12.776
CONFIRMED,5.47033376,0.074,3.1441,1.12E+02,1.15,0.0599,1090,334.27,32.7,5782,4.34,1.095,12.776
CONFIRMED,6.51112385,0.882,1.6919,6.95E+02,3.09,0.0698,1008,243.67,38.4,6032,4.465,1.001,15.214
CONFIRMED,23.85163321,0.88,2.4453,8.34E+02,3.37,0.1658,654,43.19,28.6,6032,4.465,1.001,15.214
CONFIRMED,2.714078374,0.868,1.3115,1.44E+02,1.38,0.0386,1301,675.86,36.8,5815,4.461,0.992,12.987
CONFIRMED,122.8799543,0.872,7.835,7.18E+02,2.7,0.4629,326,2.66,41.9,5413,4.51,0.861,13.8
CONFIRMED,4.88753111,0.147,2.034,6.80E+02,2.45,0.0574,1003,239.11,17.4,5568,4.499,0.957,15.768
CONFIRMED,6.14728341,0.188,2.7645,1.20E+02,0.79,0.0611,770,83.18,26.8,4997,4.598,0.746,12.906
CONFIRMED,2.800111267,0.806,1.0237,7.07E+02,2.13,0.0343,956,197.81,33.5,4786,4.579,0.704,15.229
CONFIRMED,34.3511339,0.88,4.4408,5.99E+02,2.75,0.2101,576,26.1,28.8,6091,4.487,0.967,14.998
CONFIRMED,3.413036353,0.046,2.61366,3.87E+03,6.62,0.0427,1200,490.24,480.7,5392,4.314,1.087,14.622
CONFIRMED,3.00725068,0.897,4.4302,2.86E+02,1.56,0.0388,1122,373.99,30,5667,4.587,0.781,15.62
CONFIRMED,4.194496867,0.863,1.7807,6.61E+02,1.57,0.0419,577,26.2,45,3706,4.747,0.522,14.404
CANDIDATE,6.35585682,0.912,1.55,1.77E+02,0.86,0.0552,503,15.1,9.2,3706,4.747,0.522,14.404
CONFIRMED,1.970340203,0.859,1.7901,4.03E+02,3.97,0.0303,1599,1540.07,56.3,4883,3.972,1.667,14.438
CONFIRMED,5.05821338,1.004,1.132,7.48E+02,10.69,0.0567,1168,439.8,43.2,4883,3.972,1.667,14.438
CONFIRMED,26.85323647,0.01,4.4557,9.66E+02,2.65,0.162,544,20.77,53.3,5329,4.455,0.869,14.812
CONFIRMED,25.0985083,0.814,2.7727,1.68E+02,1.59,0.1654,656,43.84,21.3,5782,4.34,1.095,12.776
CONFIRMED,34.2685741,0.677,4.8251,6.99E+02,2.44,0.193,477,12.2,38.2,5083,4.468,0.872,14.685
CONFIRMED,5.75321539,0.921,1.7948,7.34E+02,3.14,0.0633,920,169.44,31.8,5445,4.51,0.929,15.196
CONFIRMED,5.50860699,0.879,3.0788,2.04E+02,1.49,0.0585,934,179.62,38.2,5448,4.489,0.883,13.317
CONFIRMED,18.93055119,0.583,3.372,6.84E+02,4.41,0.137,766,81.42,26.2,5015,3.987,1.643,14.417
FALSE POSITIVE,42.94386258,1.285,3.7591,9.21E+03,41.62,0.2238,520,17.26,273,5750,4.4,0.94,14.708
CONFIRMED,22.06402,0.941,4.1,3.89E+02,2.67,0.1624,712,60.81,31.5,6232,4.432,1.09,13.698
CONFIRMED,5.756245244,0.888,1.071,6.24E+02,2.24,0.0582,773,84.16,45.5,4931,4.605,0.734,13.708
CONFIRMED,148.4601819,0.808,5.499,1.53E+03,3.61,0.5238,285,1.56,33.7,5159,4.548,0.821,14.839
CONFIRMED,0.934885365,0.731,1.4083,2.70E+02,3.21,0.0184,2080,4435.29,57.8,4777,3.909,1.795,14.145
CONFIRMED,25.7626846,0.327,6.908,6.20E+02,2.66,0.1709,633,37.99,38,5739,4.381,1.069,15.087
CONFIRMED,11.0317836,0.405,4.753,1.82E+02,1.45,0.0971,840,117.67,14.1,5739,4.381,1.069,15.087
CONFIRMED,4.12511935,0.253,2.877,1.15E+02,0.88,0.049,1016,252.18,21.6,5598,4.565,0.83,14.236
CANDIDATE,4.22464216,0.913,1.403,9.87E+02,4.31,0.0546,1279,631.55,7.7,6343,4.408,1.14,15.341
CONFIRMED,13.12162167,0.807,3.6138,1.97E+02,1.99,0.1123,913,164.48,32.7,6140,4.265,1.277,12.992
CONFIRMED,49.6220669,0.939,7.222,5.06E+02,3.33,0.2726,546,20.99,47.6,5938,4.331,1.184,13.429
CONFIRMED,8.08801663,0.744,1.8334,9.53E+02,2.94,0.0753,792,92.93,46.1,5269,4.494,0.874,14.624
CONFIRMED,11.55103848,0.493,3.3601,4.03E+02,2.17,0.1005,845,120.76,49.8,5907,4.395,1.058,14.138
CONFIRMED,4.469754641,0.494,1.813,5.54E+02,2.26,0.0535,1103,350.69,37.1,5988,4.507,0.934,14.769
CONFIRMED,15.77382794,0.035,4.957,3.14E+02,2.72,0.1291,955,196.14,30.4,6283,4.129,1.531,13.205
CONFIRMED,6.56226483,0.643,4.0144,2.61E+02,3.07,0.0732,1290,654.67,41.2,5878,4.005,1.812,13.996
CONFIRMED,20.67876365,0.665,4.6395,3.24E+02,2.42,0.1518,749,74.36,42.6,5865,4.266,1.272,13.598
CONFIRMED,50.79034648,0.058,10.8474,5.67E+03,10.6,0.2776,612,33.12,508.8,6163,4.185,1.406,14.274
CONFIRMED,9.59993246,0.063,4.3206,2.71E+02,2.08,0.091,967,206.91,52,5865,4.266,1.272,13.598
CONFIRMED,2.0248205,0.248,2.55,6.33E+01,1.01,0.0322,1625,1652.5,20.2,5865,4.266,1.272,13.598
CONFIRMED,201.118319,0.001,10.328,5.85E+02,2.28,0.6559,300,1.92,34.7,5646,4.447,0.954,13.328
CONFIRMED,24.7577652,0.896,6.998,4.59E+02,2.44,0.1688,644,40.74,37.6,6106,4.487,0.966,14.49
CONFIRMED,12.7983174,0.738,6.401,3.37E+02,2.88,0.1072,908,160.33,38.2,5592,4.115,1.451,14.513
CONFIRMED,10.13200555,0.03,3.1683,9.12E+02,1.67,0.0756,574,25.66,37.6,4777,4.689,0.561,15.629
CONFIRMED,38.505224,0.654,5.941,6.95E+02,2.45,0.2159,532,18.98,35.5,5974,4.504,0.881,14.777
CONFIRMED,4.6126736,0.755,3.0643,1.33E+02,1.6,0.0559,1294,663.8,34.3,6140,4.265,1.277,12.992
CONFIRMED,8.67890312,0.203,3.5317,5.41E+02,2.56,0.0805,905,158.43,37.4,5509,4.308,1.116,14.523
CONFIRMED,39.3135699,0.006,5.0137,5.00E+02,2.07,0.227,540,20.04,33.8,6060,4.509,0.925,14.476
CONFIRMED,5.94565516,0.229,2.1604,4.01E+02,1.12,0.0536,568,24.71,28.5,3974,4.7,0.564,15.026
CONFIRMED,1.52373073,0.942,1.4796,3.65E+02,1.26,0.0208,818,105.95,34.1,3746,4.736,0.51,15.313
CONFIRMED,4.225384543,0.074,2.82038,7.56E+03,9,0.0516,1111,360.46,1457.8,5574,4.403,1.054,14.014
CONFIRMED,60.0853848,0.79,7.007,4.32E+02,2.4,0.3148,485,13.07,51.7,6028,4.459,1.047,13.43
CONFIRMED,43.0343364,0.882,6.571,5.42E+02,2.5,0.2327,484,13.01,50,5550,4.476,0.911,13.534
CANDIDATE,46.2991052,0.025,5.2481,8.55E+02,4.33,0.2436,592,29.04,55,5396,4.035,1.507,14.082
CONFIRMED,88.6440015,0.724,7.82,6.26E+02,2.51,0.3815,391,5.51,57.6,5661,4.471,0.934,13.748
CONFIRMED,35.01190875,0.927,2.868,4.37E+02,2.97,0.2124,603,31.35,34,5872,4.332,1.153,13.624
CONFIRMED,16.57099265,0.55,2.9052,6.45E+02,2.03,0.121,614,33.53,40.9,5483,4.589,0.779,14.64
CONFIRMED,16.00496657,0.013,6.5047,3.78E+02,3.71,0.1396,1040,276.53,49.8,6384,4.029,1.904,12.818
CONFIRMED,1.954525966,0.673,2.0944,3.93E+02,2.38,0.0307,1540,1331.18,43.1,5741,4.331,1.136,15.356
CANDIDATE,15.09521323,,3.41,,,,,,,,,,15.356
CONFIRMED,7.23400381,0.032,2.165,4.53E+02,1.78,0.0702,831,112.48,34.3,5411,4.523,0.85,14.139
CONFIRMED,6.77408984,0.026,2.6215,5.20E+02,2.5,0.0741,1058,295.82,33.6,6246,4.433,1.092,15.368
CONFIRMED,20.17202467,0.334,3.1488,5.37E+03,6.24,0.1353,564,24,226.8,5064,4.474,0.864,14.711
CONFIRMED,26.41044199,0.674,3.0715,9.91E+02,2.45,0.1616,512,16.27,31.2,5448,4.613,0.734,15.593
CONFIRMED,8.27745764,0.261,2.713,1.97E+02,2.46,0.077,1088,331.35,17.3,5129,3.884,1.781,13.115
CONFIRMED,14.37504582,0.927,3.208,2.51E+02,2.05,0.1167,786,90.16,15.7,5931,4.403,1.053,13.286
CANDIDATE,6.31219171,0.018,4.9377,4.04E+02,2.17,0.0695,1096,342.04,35.6,6322,4.426,1.075,14.959
CONFIRMED,147.97391,0.034,6.854,1.27E+03,3.33,0.5302,329,2.78,26.4,5578,4.44,0.95,14.904
CONFIRMED,13.24503482,0.498,4.4078,1.56E+02,1.77,0.1092,887,146.31,35.7,5636,4.147,1.39,12.584
CONFIRMED,77.2550726,0.837,10.214,5.90E+02,3.7,0.3781,548,21.37,44,6564,4.255,1.356,13.754
CONFIRMED,3.85690686,0.466,2.0808,1.28E+02,0.93,0.0466,972,210.44,24.3,5272,4.574,0.813,13.746
CONFIRMED,116.3311739,0.032,7.025,1.59E+03,3.26,0.4451,323,2.59,31.5,5354,4.533,0.835,14.767
CANDIDATE,86.049055,0.2597,29.28,4.30E+02,2.06,0.3792,410,6.68,8,5733,4.432,0.997,14.767
CONFIRMED,6.31943553,0.775,3.3422,5.81E+02,2.71,0.0658,986,223.15,61,5670,4.397,1.022,14.028
CONFIRMED,12.20951755,0.779,4.1808,5.38E+02,2.61,0.1021,791,92.68,45.5,5670,4.397,1.022,14.028
CONFIRMED,3.07644709,0.708,2.6326,2.17E+02,1.61,0.0407,1253,583.25,29.3,5670,4.397,1.022,14.028
FALSE POSITIVE,2.11913005,0.67,4.141,2.87E+01,1.35,0.0356,2090,4512.1,21.5,5799,3.813,2.377,7.837
CONFIRMED,68.958447,0.821,3.128,1.23E+02,1.11,0.3183,402,6.17,30,5455,4.497,0.888,9.439
CONFIRMED,18.79591276,0.695,7.5235,2.43E+03,7.39,0.1431,852,124.64,282.3,6163,4.185,1.406,14.274
FALSE POSITIVE,47.76397728,,4.08,,,,,,,,,,9.668
CONFIRMED,63.0380366,0.021,7.3702,6.59E+02,2.59,0.3076,465,11.1,53.1,5798,4.411,1.019,13.605
CONFIRMED,9.69315023,0.734,5.6725,1.42E+02,1.89,0.0894,1017,253.08,45.1,5683,4.108,1.472,12.727
FALSE POSITIVE,8.48031229,0.951,7.105,3.51E+02,2.58,0.0809,952,193.86,37.3,5910,4.364,1.078,14.613
CONFIRMED,56.1886436,0.873,6.5272,3.46E+02,2.56,0.2939,503,15.13,35.6,5700,4.327,1.176,13.351
CONFIRMED,6.92101452,0.771,4.3591,5.30E+02,1.48,0.059,619,34.85,39.9,4461,4.661,0.585,14.832
CONFIRMED,3.27344784,0.44,1.7292,2.63E+02,0.81,0.0349,625,36.05,34,3758,4.769,0.496,14.22
CONFIRMED,15.3789014,0.359,4.662,1.85E+02,2.94,0.1313,1039,275.53,17.6,5817,3.877,2.153,13.127
CONFIRMED,134.4785189,0.924,5.9288,4.03E+03,10.52,0.5135,412,6.81,149.9,5791,4.185,1.336,13.929
CANDIDATE,5.007414194,0.926,1.3584,4.41E+03,8.8,0.058,1114,363.75,196.6,5957,4.417,1.042,13.592
FALSE POSITIVE,24.68662378,0.643,15.168,8.05E+03,48.04,0.1633,1149,412.55,210.9,4648,2.996,5.132,14.633
CONFIRMED,98.7179332,0.588,6.593,7.32E+03,6.99,0.3982,360,3.97,124.4,5808,4.583,0.786,15.7
CONFIRMED,71.52543938,0.066,5.9189,5.90E+03,5.76,0.3091,340,3.15,111.3,4855,4.542,0.778,14.521
CANDIDATE,17.50441726,0.006,4.2585,7.25E+02,3.56,0.1289,824,108.78,47.5,5815,4.16,1.329,13.926
CONFIRMED,1.72086129,0.725,2.0243,1.02E+04,13.25,0.0287,1647,1743.61,1654.9,5742,4.297,1.215,14.309
CONFIRMED,56.4349933,0.019,4.7381,5.80E+02,2.37,0.276,465,11.04,47.7,5534,4.381,1.001,13.668
CONFIRMED,33.7888028,0.078,5.496,6.49E+02,2.71,0.2127,611,33.01,36,6202,4.436,1.062,13.631
CONFIRMED,3.215109385,0.954,4.365,1.58E+02,1.54,0.0418,1155,421.21,53.3,5541,4.472,0.934,13.405
CONFIRMED,3.29276797,0.663,4.8069,8.07E+01,1.39,0.0435,1458,1068.95,40.8,5683,4.108,1.472,12.727
CONFIRMED,13.72710334,0.025,7.3419,1.99E+02,2.38,0.1154,1005,241.58,62.5,5951,4.017,1.693,12.119
CONFIRMED,24.3110031,0.146,8.7682,1.84E+02,2.3,0.169,831,112.64,48.9,5951,4.017,1.693,12.119
CONFIRMED,44.4304059,0.025,10.306,2.39E+02,2.61,0.2526,680,50.42,50.5,5951,4.017,1.693,12.119
CONFIRMED,9.34145925,0.455,6.18,8.17E+01,1.56,0.0893,1143,403.44,29.4,5951,4.017,1.693,12.119
CONFIRMED,4.97760447,0.474,2.5719,2.87E+02,1.75,0.0545,1023,258.91,27.5,5353,4.358,1.023,14.531
CONFIRMED,21.1285655,0.36,3.852,1.77E+02,2.88,0.1622,935,180.55,12.5,5817,3.877,2.153,13.127
FALSE POSITIVE,24.4851178,0.987,4.642,2.64E+02,7.14,0.1857,1179,456.64,10.9,6655,3.638,2.995,10.8
CONFIRMED,7.51854537,0.13,2.845,2.87E+02,1.42,0.0701,784,89.41,19.4,5064,4.474,0.864,14.711
CANDIDATE,86.7490807,0.003,9.179,5.47E+02,2.23,0.3706,398,5.94,35.7,5579,4.419,0.97,13.82
CONFIRMED,25.96190067,0.02,6.2732,3.50E+02,3.25,0.1891,850,123.11,37.5,6369,4.088,1.729,13.2
CONFIRMED,130.3543929,0.675,6.474,5.13E+03,7.7,0.5183,369,4.36,103.7,5970,4.463,1.015,15.254
CONFIRMED,1.855557556,0.554,2.35672,1.06E+04,10.05,0.0286,1436,1004.89,1853.8,5657,4.441,0.947,14.465
CANDIDATE,3.261759866,0.949,1.7593,3.88E+03,8.01,0.0434,1262,599.54,190.4,6131,4.497,0.945,15.28
FALSE POSITIVE,3.364425589,1.597,1.3261,4.84E+03,56.83,0.0417,1106,352.97,32,5813,4.589,0.775,15.337
CONFIRMED,16.78175788,0.502,3.7386,9.08E+02,2.25,0.118,545,20.82,118.8,4925,4.588,0.742,12.971
CONFIRMED,105.3035093,0.027,6.214,1.36E+03,3.18,0.4238,351,3.58,40.6,5534,4.515,0.875,14.986
CONFIRMED,2.549562652,0.047,1.6999,4.95E+02,1.11,0.0293,682,50.9,43.7,3716,4.74,0.506,15.018
CONFIRMED,13.96950181,0.901,1.5871,1.11E+03,2.04,0.0909,387,5.29,37,3716,4.74,0.506,15.018
CONFIRMED,5.21230171,0.187,2.098,4.30E+02,1.04,0.0471,537,19.7,29.3,3716,4.74,0.506,15.018
CONFIRMED,17.76076524,0.627,1.6679,1.29E+03,1.93,0.1085,368,4.34,42.6,3826,4.744,0.516,15.22
CONFIRMED,10.55840479,0.31,3.366,1.94E+02,1.41,0.09,796,94.94,14.6,5353,4.358,1.023,14.531
CANDIDATE,20.92735802,0.991,3.4256,8.09E+03,17.36,0.1498,735,69.08,263.5,6126,4.358,1.109,14.877
CONFIRMED,6.98800953,0.024,3.103,1.93E+02,1.39,0.0683,914,164.86,17.1,5353,4.358,1.023,14.531
CONFIRMED,22.8245144,0.279,6.617,3.23E+02,3.36,0.177,946,189.46,15.9,6642,4.057,1.846,12.345
CONFIRMED,49.1011093,0.52,6.341,8.46E+02,3.28,0.253,498,14.57,39.7,5393,4.299,1.11,15.041
CONFIRMED,7.05675145,0.631,2.0261,1.30E+02,1.68,0.0778,1196,483.95,25.2,6388,4.244,1.402,12.556
CONFIRMED,34.8536903,0.493,5.333,7.68E+02,2.4,0.2046,522,17.62,27,5818,4.554,0.848,14.876
CONFIRMED,2.41434868,0.221,1.2701,1.91E+02,0.97,0.0315,953,195.08,30,4507,4.573,0.724,13.156
FALSE POSITIVE,2.466070972,1.223,1.9559,7.05E+02,24.3,0.0353,1260,595.8,42.6,5708,4.529,0.884,15.601
CONFIRMED,4.30656389,0.894,4.1107,2.57E+02,1.95,0.054,1177,453.2,39.8,6108,4.466,1.03,14.136
FALSE POSITIVE,12.96471775,1.282,1.8303,3.73E+03,39.93,0.1115,834,114.24,183.3,6210,4.45,1.033,14.384
FALSE POSITIVE,1.731079436,1.404,1.8419,1.20E+04,56.05,0.0286,1541,1332.5,36.2,6045,4.494,0.955,15.505
CONFIRMED,7.794302043,1.06,1.1081,3.39E+03,16.51,0.0742,882,142.82,159.2,5494,4.405,0.982,12.394
CONFIRMED,14.5324483,0.001,3.13,1.36E+03,3.11,0.1083,664,46.06,16.5,5345,4.473,0.86,14.625
CONFIRMED,5.248667607,0.847,1.917,6.01E+02,2.84,0.0596,1056,293.42,59.5,5807,4.437,1.012,13.345
CONFIRMED,7.96431492,0.189,1.5342,7.46E+02,2.44,0.0734,805,99.42,44.3,5185,4.44,0.91,14.425
CONFIRMED,92.7297248,0.857,6.83,1.26E+03,2.81,0.3608,276,1.38,43.3,4580,4.641,0.675,14.897
CONFIRMED,1.485710994,0.105,2.2874,2.08E+04,14.48,0.0257,1562,1404.81,1176.6,5624,4.432,1.018,14.141
CANDIDATE,30.5231459,1.06,2.7286,2.21E+03,11.26,0.183,506,15.46,38.7,5518,4.585,0.79,15.841
CONFIRMED,71.3116598,0.035,8.813,2.14E+03,4.94,0.354,475,12.01,43.4,6194,4.445,1.069,15.674
CANDIDATE,28.78270955,0.002,3.451,8.65E+02,2.11,0.1685,443,9.09,40.1,4774,4.58,0.745,14.649
FALSE POSITIVE,15.44428875,1.275,2.0791,3.60E+03,37.58,0.1255,731,67.39,44.9,5895,4.489,0.991,15.838
CONFIRMED,1.411230023,0.851,1.4325,3.88E+02,1.71,0.0221,1164,436.04,89.3,4575,4.564,0.737,13.59
CONFIRMED,96.9151707,0.541,6.065,8.63E+02,2.37,0.3878,325,2.64,53.4,5162,4.559,0.791,14.031
CONFIRMED,13.47472742,0.025,2.5995,7.30E+02,1.96,0.1034,634,38.21,25.3,5395,4.615,0.734,15.164
CONFIRMED,2.29503515,0.16,1.654,1.72E+02,1.18,0.0331,1304,681.51,11.6,5637,4.482,0.909,13.09
CONFIRMED,27.495634,0.664,4.858,4.83E+02,2.11,0.1629,590,28.66,24.7,5657,4.401,0.911,14.55
CONFIRMED,14.08826442,0.133,4.1847,8.89E+02,2.66,0.1138,724,64.97,34.2,5853,4.529,0.895,15.624
CONFIRMED,3.905081685,0.131,2.8213,2.13E+04,12.78,0.0485,1046,282.59,1315.8,5543,4.54,0.887,15.127
CONFIRMED,110.9643706,0.729,12.831,1.28E+03,2.11,0.3679,239,0.77,42.1,4441,4.695,0.546,15.498
CANDIDATE,4.539297295,0.83,1.9455,7.98E+02,2.34,0.0494,830,112.09,50.3,4914,4.61,0.724,13.26
CONFIRMED,6.94135824,0.871,1.8899,8.25E+02,2.96,0.0682,876,139.05,43.1,5527,4.491,0.88,13.828
CONFIRMED,17.27629668,0.085,3.94738,1.05E+04,7.31,0.1209,538,19.88,871.4,4941,4.599,0.738,14.018
CONFIRMED,31.7821117,0.17,3.856,5.70E+02,2.08,0.1879,528,18.32,21.6,5527,4.491,0.88,13.828
CONFIRMED,4.36273233,0.732,2.2375,3.42E+02,1.76,0.05,1023,258.7,25.6,5527,4.491,0.88,13.828
CONFIRMED,18.6848377,0.405,3.7965,1.25E+03,1.93,0.1135,402,6.16,41.2,4156,4.712,0.545,15.434
CONFIRMED,7.41634701,0.476,2.1362,5.06E+02,1.24,0.0613,547,21.1,20.6,4156,4.712,0.545,15.434
CONFIRMED,9.91724268,0.786,3.2241,4.58E+02,2.85,0.0883,903,157.41,38.8,5539,4.244,1.207,14.498
CONFIRMED,82.5341188,0.033,4.8556,1.90E+03,2.45,0.3104,260,1.08,40.1,4316,4.678,0.58,15.187
CONFIRMED,20.16037858,0.941,4.13,3.44E+02,1.75,0.1339,510,16.03,35.1,4975,4.614,0.724,13.389
CONFIRMED,10.99470891,0.265,1.5929,8.85E+02,1.71,0.0805,512,16.24,32.7,4302,4.661,0.586,15.389
CANDIDATE,6.73679732,,2.36,,,,,,,,,,15.389
CANDIDATE,124.0358994,0.075,4.8472,7.69E+03,11.13,0.4947,413,6.88,190.1,5822,4.244,1.28,14.989
FALSE POSITIVE,1.194812329,0.404,1.3777,1.90E+02,1.36,0.0222,1806,2521.46,41.2,6198,4.475,0.97,14.029
CONFIRMED,10.84969477,0.55,3.474,1.12E+03,2.67,0.0914,676,49.3,43.5,5251,4.592,0.778,15.409
CONFIRMED,12.18420006,0.746,2.5014,4.99E+02,2.59,0.1031,819,106.52,23.3,5771,4.374,1.068,13.982
CONFIRMED,3.76417012,0.287,2.0111,5.58E+02,1.7,0.044,908,160.99,27.2,5063,4.617,0.728,15.484
CONFIRMED,5.92972237,0.048,2.518,4.12E+02,1.92,0.0649,972,210.95,8.9,5741,4.492,0.956,14.746
CONFIRMED,12.2476121,0.116,3.209,4.03E+02,1.9,0.1052,763,80.29,6.8,5741,4.492,0.956,14.746
CONFIRMED,13.59051547,0.232,3.784,6.22E+02,2.4,0.1072,724,64.8,27.7,5442,4.409,0.974,15.15
CONFIRMED,46.8776724,0.834,10.041,5.40E+02,2.62,0.2495,484,13.01,37.5,5504,4.418,0.993,14.632
CONFIRMED,89.1935737,0.015,4.0104,8.68E+02,3.81,0.3987,483,12.83,43.5,6071,4.239,1.295,12.487
CONFIRMED,13.09390911,0.86,2.2805,3.99E+02,2.2,0.1096,752,75.58,62.2,5772,4.487,0.956,12.706
CONFIRMED,4.915385452,0.484,2.7757,2.26E+02,1.46,0.057,1042,279.43,65.6,5772,4.487,0.956,12.706
FALSE POSITIVE,87.455958,1.262,18.257,1.60E+03,70.11,0.46,728,66.26,118.9,7700,4.018,2.111,13.36
FALSE POSITIVE,0.805259257,1.245,1.42246,1.38E+03,63.55,0.0183,2723,12990.09,329.7,5872,3.926,2.022,13.742
CONFIRMED,9.76785911,0.916,2.1649,5.85E+02,2.54,0.0852,749,74.48,54.1,5371,4.513,0.852,13.766
CONFIRMED,40.80957343,0.949,3.158,4.36E+02,3.44,0.2489,623,35.68,39.3,6183,4.301,1.3,12.988
CONFIRMED,22.08551599,0.656,2.1727,3.16E+03,3.34,0.13,352,3.63,48.5,3828,4.712,0.565,15.967
CONFIRMED,1.151166776,0.029,1.0907,5.78E+02,1.28,0.0177,957,199.25,83.7,3951,4.73,0.535,14.44
FALSE POSITIVE,4.693305543,0.23,5.17249,1.45E+04,17.85,0.06,1389,881.73,1765.2,6365,4.22,1.47,12.291
CONFIRMED,3.246732048,0.475,3.0535,7.00E+03,12.4,0.0442,1459,1072.7,775,5763,4.15,1.457,14.678
FALSE POSITIVE,8.3606759,0.259,6.287,1.95E+02,1.49,0.0802,929,176.04,17.7,5771,4.374,1.068,13.982
CONFIRMED,62.1385979,0.699,4.2938,8.86E+02,5.14,0.301,524,17.88,36.1,5123,3.992,1.621,14.52
CANDIDATE,17.1181036,0.4346,1.29,1.68E+02,1.22,0.1314,654,43.25,6.1,5576,4.515,0.929,14.52
CANDIDATE,8.29482811,0.932,2.7437,5.60E+02,2.76,0.0793,876,139.38,38.1,5773,4.478,0.939,14.469
