koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,3.689920099,0.151,2.6557,4.27E+02,1.89,0.0469,1147,408.99,35.6,5880,4.518,0.917,15.242
CONFIRMED,4.431238488,0.405,3.15,1.01E+03,3.25,0.0529,1104,351.23,71.1,5714,4.428,1.015,15.367
CONFIRMED,11.37936986,0.911,2.6255,1.02E+03,3.95,0.0993,806,99.68,37.9,5714,4.428,1.015,15.367
CONFIRMED,26.39432897,0.602,3.573,1.51E+03,3.07,0.1635,489,13.49,48.2,5129,4.595,0.763,15.234
CONFIRMED,13.57078281,0.866,3.3539,5.12E+02,2.64,0.1096,785,89.61,88.4,5854,4.406,1.012,12.882
CONFIRMED,7.12594387,0.898,3.0014,1.92E+02,1.79,0.0711,997,233.31,47.1,5779,4.339,1.087,12.791
FALSE POSITIVE,7.442652004,0.137,2.3078,2.44E+04,15.03,0.0742,967,206.78,835.6,6108,4.469,0.956,15.27
CONFIRMED,16.38489988,0.001,3.0249,1.13E+03,2,0.1084,433,8.35,28.9,4126,4.661,0.615,15.095
CONFIRMED,7.8774163,0.041,2.0805,1.31E+03,2.16,0.0665,553,22.18,38.7,4126,4.661,0.615,15.095
CONFIRMED,36.4454001,0.028,4.007,1.12E+03,1.99,0.1847,332,2.88,21.7,4126,4.661,0.615,15.095
CONFIRMED,3.728732147,0.558,2.683,5.23E+03,6.02,0.0455,1023,258.34,345.2,5497,4.577,0.809,15.523
CANDIDATE,40.4195037,0.911,3.362,6.26E+03,7.51,0.2062,467,11.29,36.9,5446,4.507,0.781,15.487
CONFIRMED,2.243380573,0.915,1.1196,8.22E+02,1.99,0.028,822,107.6,38.9,4149,4.698,0.564,15.135
FALSE POSITIVE,10.40599802,0.324,6.5036,1.45E+04,11.23,0.0855,833,113.94,745.2,5746,4.393,0.924,15.562
CONFIRMED,2.337437946,0.28,1.9982,9.71E+02,2.34,0.0325,1070,311.16,82.4,5005,4.595,0.765,15.334
CANDIDATE,7.2406612,1.198,0.558,5.56E+02,19.45,0.0692,734,68.63,13.7,5005,4.595,0.765,15.334
CANDIDATE,3.43591631,0.624,3.133,2.32E+01,0.55,0.0437,1272,617.61,8.7,5779,4.339,1.087,12.791
CONFIRMED,11.59822233,0.679,2.5237,2.80E+03,2.65,0.0798,396,5.82,71,3688,4.79,0.473,15.937
CONFIRMED,6.575315881,0.39,4.3084,2.79E+03,5.31,0.067,1015,251.38,221.1,5992,4.415,0.989,15.312
CONFIRMED,7.275040844,0.547,7.5377,3.00E+03,4.86,0.0732,833,113.64,312.1,5485,4.556,0.867,15.08
CONFIRMED,19.27153892,0.031,2.7594,1.22E+03,1.93,0.1171,393,5.66,37.1,4077,4.702,0.56,15.385
CONFIRMED,10.06524317,0.628,1.369,1.05E+03,1.91,0.076,488,13.43,30.3,4077,4.702,0.56,15.385
CONFIRMED,12.3935651,0.883,3.8896,9.17E+02,2.66,0.0983,677,49.68,35.8,5557,4.603,0.75,15.505
CONFIRMED,43.84439721,0.852,6.802,6.15E+02,2.87,0.2395,531,18.77,83.7,5854,4.406,1.012,12.882
FALSE POSITIVE,3.341913228,1.213,3.813,7.25E+02,21.55,0.0415,1032,268.67,39,5295,4.551,0.811,15.629
FALSE POSITIVE,1.626630225,1.26,2.1145,1.62E+03,32.43,0.026,1547,1355.88,103.6,5735,4.41,0.973,15.279
CONFIRMED,2.711504086,0.023,3.0099,8.38E+02,3.12,0.0401,1420,960.79,64.5,6214,4.442,1.076,15.541
CONFIRMED,7.21203748,0.012,4.0491,9.50E+02,3.32,0.077,1025,260.58,51.5,6214,4.442,1.076,15.541
FALSE POSITIVE,14.1798187,0.1601,2.505,4.60E+02,1.88,0.1137,711,60.35,11.2,5799,4.539,0.878,15.727
CONFIRMED,8.47237911,0.022,2.7245,1.12E+03,2.59,0.0778,751,75.44,47.6,5354,4.587,0.788,15.339
CONFIRMED,60.4189369,0.094,5.039,9.31E+02,2.36,0.2884,390,5.49,20.1,5354,4.587,0.788,15.339
CONFIRMED,12.61190435,0.55,5.1497,6.11E+03,7.4,0.1058,753,76.15,277.2,5795,4.508,0.919,15.14
FALSE POSITIVE,1.433769925,1.268,1.8868,1.98E+03,46.58,0.0256,1920,3209.29,112.6,6017,4.22,1.339,15.122
FALSE POSITIVE,10.31872301,1.215,3.836,8.72E+02,28.59,0.0944,876,139.26,38.2,5927,4.409,1.06,15.065
CONFIRMED,2.539183147,0.238,2.4282,3.82E+02,2.06,0.0355,1332,743.09,38.9,5519,4.35,1.062,15.026
CONFIRMED,6.770300385,0.838,2.0844,1.30E+03,2.77,0.064,812,102.87,50.8,5653,4.656,0.679,15.591
FALSE POSITIVE,0.444291966,1.258,2.0792,1.10E+04,27.51,0.0101,1836,2706.26,299.7,5255,4.678,0.636,15.748
CANDIDATE,10.181584,0.92,3.5089,5.74E+03,7.73,0.0884,812,102.91,183.6,5988,4.541,0.836,15.657
CONFIRMED,20.06036336,0.556,3.3203,1.49E+03,1.96,0.115,361,4,35.2,3950,4.754,0.493,15.954
CONFIRMED,46.1842039,0.013,4.758,1.39E+03,1.83,0.2005,273,1.32,26,3950,4.754,0.493,15.954
